Unnamed: 0,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
50,Julius Randle,NYK,28,4,3,1,31.7,14.8,5.3,16.3,32.3,2.0,7.8,25.8,2.3,3.5,64.3,1.5,5.5,7.0,2.3,3.5,1.0,0.3,2.3,26.8,1.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Caris LeVert,CLE,28,4,1,3,33.0,14.5,5.3,12.5,42.0,2.3,7.3,31.0,1.8,2.8,63.6,0.8,3.8,4.5,2.3,1.3,0.3,0.3,1.8,23.5,0.0,0.0,-5.8,,,,,,,,,,,,,,,,,,,,,,,,,,
52,D'Angelo Russell,LAL,27,4,3,1,31.5,14.5,5.3,14.3,36.8,2.3,7.3,31.0,1.8,1.8,100.0,0.8,3.3,4.0,5.3,2.3,0.5,0.0,3.8,26.4,0.0,0.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Pat Connaughton,MIL,30,3,1,2,23.9,13.7,4.7,9.0,51.9,3.3,7.3,45.5,1.0,1.3,75.0,1.0,4.7,5.7,2.3,0.7,1.0,0.3,2.0,27.3,0.0,0.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Bogdan Bogdanovic,ATL,30,5,2,3,27.4,13.6,5.0,9.2,54.3,2.8,5.8,48.3,0.8,0.8,100.0,0.4,3.2,3.6,2.8,0.6,1.2,1.0,3.0,28.1,0.0,0.0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Chris Paul,PHX,37,5,4,1,38.5,13.6,5.8,14.0,41.4,1.6,4.6,34.8,0.4,0.8,50.0,0.8,5.2,6.0,8.2,1.2,2.2,1.0,2.6,41.5,1.0,0.0,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Caleb Martin,MIA,27,4,3,1,28.0,13.5,4.5,7.0,64.3,1.8,3.8,46.7,2.8,3.3,84.6,1.0,5.0,6.0,2.3,1.3,1.3,0.0,2.8,26.6,1.0,0.0,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Josh Hart,NYK,28,4,3,1,32.1,13.5,5.3,8.8,60.0,1.3,2.3,55.6,1.8,2.3,77.8,2.3,4.5,6.8,1.3,2.5,1.5,0.0,2.8,25.5,1.0,0.0,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Aaron Gordon,DEN,27,5,4,1,32.7,13.4,4.6,9.2,50.0,0.8,2.4,33.3,3.4,3.8,89.5,3.0,4.0,7.0,1.8,1.0,0.6,0.2,4.6,25.9,1.0,0.0,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Harrison Barnes,SAC,30,4,2,2,33.8,13.0,4.8,11.3,42.2,1.3,5.0,25.0,2.3,3.3,69.2,2.0,2.3,4.3,1.0,0.0,1.5,0.0,1.0,24.1,0.0,0.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Malcolm Brogdon,BOS,30,5,3,2,25.3,12.6,4.8,10.8,44.4,1.2,4.0,30.0,1.8,2.4,75.0,0.8,3.2,4.0,4.4,1.2,0.2,0.2,1.6,24.0,0.0,0.0,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Grayson Allen,MIL,27,4,1,3,30.7,12.5,4.3,8.5,50.0,3.0,6.0,50.0,1.0,1.3,80.0,0.3,1.8,2.0,1.5,1.0,0.5,0.0,1.0,17.7,0.0,0.0,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Torrey Craig,PHX,32,5,4,1,25.5,12.4,4.4,6.8,64.7,2.0,3.6,55.6,1.6,1.8,88.9,1.0,2.6,3.6,1.0,0.4,0.6,0.2,3.4,20.2,0.0,0.0,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Bobby Portis,MIL,28,4,1,3,22.6,12.0,5.0,9.8,51.3,1.3,4.3,29.4,0.8,0.8,100.0,2.3,7.0,9.3,1.5,1.0,0.8,0.5,3.8,28.1,1.0,0.0,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Mike Conley,MIN,35,5,1,4,36.6,12.0,4.0,8.4,47.6,2.0,4.4,45.5,2.0,2.2,90.9,0.4,2.2,2.6,6.4,1.4,0.6,0.0,2.2,25.1,0.0,0.0,-3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Tyler Herro,MIA,23,1,1,0,19.5,12.0,5.0,9.0,55.6,2.0,4.0,50.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,19.4,0.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Duncan Robinson,MIA,29,4,3,1,21.5,11.5,4.0,6.0,66.7,3.3,4.3,76.5,0.3,0.3,100.0,0.0,3.3,3.3,1.5,1.3,0.3,0.0,0.8,17.2,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Victor Oladipo,MIA,30,2,1,1,22.7,11.5,5.0,9.5,52.6,1.0,2.5,40.0,0.5,1.5,33.3,0.5,3.0,3.5,1.0,1.0,1.0,0.5,2.5,20.7,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Bruce Brown,DEN,26,5,4,1,27.0,11.4,4.4,8.2,53.7,0.6,2.8,21.4,2.0,2.2,90.9,0.6,3.4,4.0,2.4,1.8,1.2,0.4,2.2,22.8,0.0,0.0,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,
