Unnamed: 0,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
11,Jayson Tatum,BOS,25,5,3,2,39.3,26.6,9.4,21.6,43.5,3.4,10.0,34.0,4.4,5.0,88.0,0.6,8.6,9.2,5.0,3.0,0.6,1.0,1.6,46.9,3.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Nikola Jokic,DEN,28,5,4,1,37.0,26.2,9.6,19.8,48.5,2.2,4.4,50.0,4.8,6.8,70.6,4.2,8.2,12.4,9.0,2.8,1.2,0.4,4.2,56.6,4.0,2.0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Dejounte Murray,ATL,26,4,1,3,38.2,25.3,10.3,22.5,45.6,3.3,8.3,39.4,1.5,1.5,100.0,2.0,5.3,7.3,5.8,2.3,2.3,0.3,1.5,47.8,0.0,0.0,-5.3,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Jaylen Brown,BOS,26,5,3,2,37.4,25.2,10.4,19.2,54.2,2.2,5.0,44.0,2.2,3.8,57.9,1.4,4.0,5.4,3.2,3.8,1.4,0.4,3.0,38.1,1.0,0.0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Jalen Brunson,NYK,26,4,3,1,36.7,24.3,9.3,20.3,45.7,1.8,6.3,28.0,4.0,4.3,94.1,1.0,3.3,4.3,5.0,2.5,2.3,0.3,1.8,41.9,0.0,0.0,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,
16,LeBron James,LAL,38,4,3,1,38.6,24.0,9.5,19.3,49.4,1.3,6.8,18.5,3.8,5.5,68.2,2.8,10.3,13.0,5.0,2.5,1.0,1.8,2.0,52.9,3.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Russell Westbrook,LAC,34,5,1,4,38.5,23.6,8.6,21.0,41.0,2.0,5.6,35.7,4.4,5.0,88.0,1.8,5.8,7.6,7.4,4.0,1.2,1.4,3.0,47.6,1.0,0.0,-5.4,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Mikal Bridges,BKN,26,4,0,4,39.4,23.5,8.3,19.3,42.9,2.5,6.3,40.0,4.5,5.8,78.3,0.5,4.8,5.3,4.0,2.0,0.5,0.5,1.3,36.8,0.0,0.0,-11.3,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Desmond Bane,MEM,24,4,1,3,37.8,23.3,8.0,19.8,40.5,2.5,8.8,28.6,4.8,4.8,100.0,1.0,4.3,5.3,3.0,3.3,0.5,0.0,4.0,32.3,0.0,0.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Donovan Mitchell,CLE,26,4,1,3,40.6,22.0,8.5,19.5,43.6,2.5,8.3,30.3,2.5,3.8,66.7,0.8,3.8,4.5,7.8,4.0,2.0,0.5,3.0,42.5,1.0,0.0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Norman Powell,LAC,29,5,1,4,33.5,21.8,7.2,15.2,47.4,2.6,6.4,40.6,4.8,6.2,77.4,0.8,2.2,3.0,2.2,1.6,0.8,0.4,3.2,30.7,0.0,0.0,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Tyrese Maxey,PHI,22,4,4,0,37.1,21.8,8.0,17.0,47.1,3.8,7.5,50.0,2.0,2.5,80.0,0.8,4.3,5.0,1.8,1.0,1.5,0.3,2.8,34.6,0.0,0.0,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Khris Middleton,MIL,31,4,1,3,33.0,21.5,7.5,15.5,48.4,2.3,5.5,40.9,4.3,5.3,81.0,1.5,5.0,6.5,6.3,3.5,0.8,0.0,2.5,37.4,0.0,0.0,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Darius Garland,CLE,23,4,1,3,37.1,20.5,7.0,16.8,41.8,2.8,6.3,44.0,3.8,4.8,78.9,0.0,1.8,1.8,5.3,3.0,2.0,0.3,2.8,34.2,1.0,0.0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Klay Thompson,GSW,33,4,2,2,37.1,20.3,7.3,15.5,46.8,4.3,10.8,39.5,1.5,1.5,100.0,0.0,4.5,4.5,3.3,1.8,1.0,0.3,1.3,32.5,0.0,0.0,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Tobias Harris,PHI,30,4,4,0,33.7,20.3,8.5,15.0,56.7,2.0,3.5,57.1,1.3,1.3,100.0,2.3,6.5,8.8,2.0,0.5,0.5,0.5,2.0,36.3,2.0,0.0,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Joel Embiid,PHI,29,3,3,0,35.9,20.0,6.0,13.0,46.2,0.3,2.7,12.5,7.7,8.0,95.8,1.3,10.0,11.3,4.0,5.0,1.0,2.3,3.3,44.6,2.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Anthony Davis,LAL,30,4,3,1,38.7,19.5,7.3,17.0,42.6,0.5,1.5,33.3,4.5,5.5,81.8,3.3,9.0,12.3,2.5,3.0,1.8,4.8,2.5,54.5,3.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Derrick White,BOS,28,5,3,2,33.1,19.4,7.2,12.2,59.0,3.0,6.0,50.0,2.0,2.2,90.9,0.2,4.0,4.2,3.8,1.4,0.4,1.4,2.2,34.1,0.0,0.0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Andrew Wiggins,GSW,28,4,2,2,34.8,19.3,7.8,15.8,49.2,1.8,6.0,29.2,2.0,3.0,66.7,1.5,4.3,5.8,1.8,1.8,0.5,2.3,3.5,35.3,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Brook Lopez,MIL,35,4,1,3,34.5,19.3,8.0,14.0,57.1,1.0,3.0,33.3,2.3,2.5,90.0,2.8,2.8,5.5,1.3,2.3,1.5,2.0,1.8,36.0,1.0,0.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Jaren Jackson Jr.,MEM,23,4,1,3,37.7,19.0,6.8,15.0,45.0,1.0,3.5,28.6,4.5,5.5,81.8,3.3,5.0,8.3,2.0,3.3,1.0,2.5,3.5,39.2,1.0,0.0,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Cameron Johnson,BKN,27,4,0,4,38.0,18.5,7.0,13.8,50.9,3.0,7.0,42.9,1.5,1.8,85.7,0.8,5.0,5.8,2.8,1.3,0.8,0.3,2.5,31.3,1.0,0.0,-8.8,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Jrue Holiday,MIL,32,4,1,3,36.0,18.3,7.5,18.5,40.5,2.5,9.0,27.8,0.8,1.3,60.0,1.0,5.0,6.0,8.5,2.5,1.0,0.5,2.8,40.2,2.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Karl-Anthony Towns,MIN,27,5,1,4,36.0,18.2,6.4,14.0,45.7,1.2,4.8,25.0,4.2,5.6,75.0,1.2,9.0,10.2,2.0,3.6,0.6,0.8,4.2,34.0,4.0,0.0,-9.4,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Rui Hachimura,LAL,25,4,3,1,27.6,18.0,6.5,11.3,57.8,2.5,4.0,62.5,2.5,3.0,83.3,0.5,5.0,5.5,1.0,0.8,0.5,0.0,1.0,26.9,0.0,0.0,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Austin Reaves,LAL,24,4,3,1,36.2,17.8,6.3,12.8,49.0,1.8,4.3,41.2,3.5,4.5,77.8,1.5,3.0,4.5,4.0,1.3,0.8,0.3,2.3,30.9,0.0,0.0,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Malik Monk,SAC,25,4,2,2,28.3,17.5,5.0,12.8,39.2,1.8,5.0,35.0,5.8,6.0,95.8,0.8,3.5,4.3,3.5,1.5,0.5,0.3,1.8,28.6,0.0,0.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
39,James Harden,PHI,33,4,4,0,36.1,17.3,5.8,16.8,34.3,3.5,8.3,42.4,2.3,2.8,81.8,0.5,5.0,5.5,8.8,3.5,1.5,0.3,2.5,38.7,2.0,0.0,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Bam Adebayo,MIA,25,4,3,1,29.5,16.8,7.3,15.0,48.3,0.0,0.0,0.0,2.3,2.8,81.8,1.5,6.8,8.3,3.8,3.5,1.5,0.5,3.0,34.8,1.0,0.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
41,RJ Barrett,NYK,22,4,3,1,33.2,16.5,5.8,13.8,41.8,1.0,5.0,20.0,4.0,5.5,72.7,0.8,3.5,4.3,2.5,0.8,1.5,0.3,2.0,29.9,0.0,0.0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Spencer Dinwiddie,BKN,30,4,0,4,39.8,16.5,5.5,12.8,43.1,1.8,4.5,38.9,3.8,5.5,68.2,0.3,3.0,3.3,6.5,3.0,1.3,0.3,1.8,31.7,0.0,0.0,-7.5,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Michael Porter Jr.,DEN,24,5,4,1,35.9,16.4,6.2,12.6,49.2,2.8,6.6,42.4,1.2,1.8,66.7,0.6,7.6,8.2,1.2,0.0,1.0,0.6,2.6,32.8,1.0,0.0,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Domantas Sabonis,SAC,26,4,2,2,36.6,16.3,6.8,14.0,48.2,0.0,0.5,0.0,2.8,4.5,61.1,3.5,8.5,12.0,4.5,3.8,1.5,0.5,3.3,39.7,2.0,0.0,-9.3,,,,,,,,,,,,,,,,,,,,,,,,,,
45,De'Andre Hunter,ATL,25,5,2,3,37.1,16.0,6.4,13.6,47.1,2.0,6.0,33.3,1.2,1.6,75.0,1.2,4.4,5.6,1.2,1.6,0.6,0.2,3.2,25.3,1.0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Deandre Ayton,PHX,24,5,4,1,34.3,16.0,7.0,13.2,53.0,0.0,0.0,0.0,2.0,3.6,55.6,2.8,8.4,11.2,0.8,1.8,0.6,0.6,3.0,32.4,4.0,0.0,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Giannis Antetokounmpo,MIL,28,2,0,2,24.6,16.0,7.0,13.0,53.8,0.0,0.5,0.0,2.0,4.0,50.0,2.0,4.5,6.5,6.5,3.5,0.5,1.0,2.5,34.6,1.0,1.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Marcus Smart,BOS,29,5,3,2,30.6,15.6,6.2,12.6,49.2,2.6,6.8,38.2,0.6,1.2,50.0,1.4,3.0,4.4,5.4,1.6,1.8,0.4,1.8,34.0,0.0,0.0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Rudy Gobert,MIN,30,5,1,4,35.4,15.0,5.8,9.2,63.0,0.0,0.0,0.0,3.4,5.4,63.0,3.6,8.6,12.2,2.0,1.6,0.4,1.0,4.8,35.2,3.0,0.0,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Jordan Poole,GSW,23,4,2,2,22.8,14.8,4.3,11.3,37.8,1.3,5.3,23.8,5.0,5.8,87.0,0.8,2.0,2.8,3.0,1.3,1.3,0.3,1.8,25.8,0.0,0.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
