Unnamed: 0,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
1,Devin Booker,PHX,26,5,4,1,43.1,37.2,14.2,23.6,60.2,2.8,6.0,46.7,6.0,7.0,85.7,1.4,3.6,5.0,6.4,3.0,2.6,1.0,2.8,60.6,1.0,0.0,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Jimmy Butler,MIA,33,4,3,1,35.0,36.5,13.5,21.5,62.8,2.3,4.3,52.9,7.3,9.8,74.4,2.0,3.5,5.5,5.0,1.8,1.8,0.3,1.5,54.9,1.0,0.0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Kawhi Leonard,LAC,31,2,1,1,40.2,34.5,12.0,22.0,54.5,3.0,5.0,60.0,7.5,8.5,88.2,1.5,5.0,6.5,6.0,3.0,2.0,0.5,2.5,55.8,0.0,0.0,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Anthony Edwards,MIN,21,5,1,4,39.7,31.6,11.0,22.8,48.2,3.0,8.6,34.9,6.6,7.8,84.6,0.6,4.4,5.0,5.2,1.6,1.8,2.0,2.6,55.2,0.0,0.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,De'Aaron Fox,SAC,25,4,2,2,38.5,31.5,11.5,25.8,44.7,3.3,9.5,34.2,5.3,7.5,70.0,1.8,4.3,6.0,7.0,3.0,2.5,0.3,3.3,54.5,0.0,0.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Stephen Curry,GSW,35,4,2,2,39.5,31.5,10.8,22.0,48.9,5.0,12.5,40.0,5.0,5.3,95.2,0.5,4.5,5.0,3.8,3.0,0.8,0.5,3.0,43.9,0.0,0.0,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Trae Young,ATL,24,5,2,3,38.0,29.0,10.2,24.2,42.1,2.8,8.4,33.3,5.8,7.0,82.9,1.0,2.8,3.8,10.2,3.8,1.8,0.4,1.6,51.7,2.0,0.0,-5.2,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Kevin Durant,PHX,34,5,4,1,43.8,28.4,8.8,17.0,51.8,2.2,4.8,45.8,8.6,9.0,95.6,0.6,7.0,7.6,6.2,3.2,1.0,1.0,2.4,49.6,2.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Jamal Murray,DEN,26,5,4,1,38.4,27.4,9.8,20.8,47.1,3.8,8.6,44.2,4.0,4.4,90.9,0.4,5.2,5.6,6.4,2.6,1.0,0.4,2.4,45.3,0.0,0.0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Ja Morant,MEM,23,3,0,3,38.6,27.3,9.7,21.3,45.3,3.0,6.3,47.4,5.0,6.0,83.3,2.0,4.3,6.3,7.3,4.3,1.7,0.3,2.7,47.6,1.0,0.0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
