Unnamed: 0,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
126,Nicolas Batum,LAC,34,5,1,4,18.3,4.4,1.6,3.8,42.1,1.2,3.4,35.3,0.0,0.0,0.0,0.2,2.0,2.2,1.2,0.4,0.4,0.4,2.0,10.8,0.0,0.0,-5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Georges Niang,PHI,29,4,4,0,15.5,4.3,1.8,2.8,63.6,0.8,1.5,50.0,0.0,0.0,0.0,0.0,0.8,0.8,0.3,0.8,0.0,0.0,1.5,4.8,0.0,0.0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Jalen Johnson,ATL,21,5,2,3,10.1,4.2,1.6,4.4,36.4,0.6,2.0,30.0,0.4,0.4,100.0,0.4,2.6,3.0,1.6,1.0,0.6,0.0,1.0,11.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Alex Len,SAC,29,4,2,2,9.9,4.0,1.5,1.8,85.7,0.0,0.0,0.0,1.0,1.0,100.0,1.5,2.5,4.0,0.0,1.5,0.0,0.8,3.3,9.6,0.0,0.0,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Jock Landale,PHX,27,1,0,1,7.6,4.0,1.0,3.0,33.3,0.0,0.0,0.0,2.0,4.0,50.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,10.9,0.0,0.0,-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Robin Lopez,CLE,35,2,1,1,3.0,4.0,1.5,1.5,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,1.0,4.1,0.0,0.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Santi Aldama,MEM,22,4,1,3,14.4,4.0,1.5,4.5,33.3,1.0,2.5,40.0,0.0,0.0,0.0,0.8,3.3,4.0,1.0,0.3,0.5,0.0,1.0,11.6,0.0,0.0,-7.8,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Jeff Green,DEN,36,5,4,1,22.5,3.8,1.6,4.6,34.8,0.4,2.0,20.0,0.2,0.6,33.3,0.2,1.2,1.4,1.4,0.8,0.6,0.8,2.8,11.0,0.0,0.0,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Quentin Grimes,NYK,22,3,2,1,20.8,3.7,0.7,3.7,18.2,0.3,3.0,11.1,2.0,2.3,85.7,0.7,2.7,3.3,1.0,0.7,1.0,0.7,1.7,13.5,0.0,0.0,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Jonathan Kuminga,GSW,20,4,2,2,7.4,3.5,1.5,3.3,46.2,0.0,1.0,0.0,0.5,1.3,40.0,0.8,0.3,1.0,0.5,0.5,0.5,0.0,1.0,6.5,0.0,0.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Christian Braun,DEN,22,5,4,1,12.7,3.4,1.4,2.2,63.6,0.4,0.8,50.0,0.2,0.4,50.0,0.6,1.2,1.8,0.8,0.4,0.0,0.2,1.2,7.0,0.0,0.0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Jalen McDaniels,PHI,25,4,4,0,16.4,3.3,1.5,3.0,50.0,0.3,0.8,33.3,0.0,0.0,0.0,0.3,2.5,2.8,1.0,0.8,0.3,0.0,1.5,8.1,0.0,0.0,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Jaylen Nowell,MIN,23,5,1,4,12.4,3.2,1.2,5.2,23.1,0.6,1.8,33.3,0.2,0.4,50.0,0.8,0.2,1.0,0.6,0.4,0.0,0.0,0.8,4.9,0.0,0.0,-5.8,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Cam Thomas,BKN,21,2,0,2,7.8,3.0,1.5,3.5,42.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,1.0,3.9,0.0,0.0,-6.5,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Day'Ron Sharpe,BKN,21,2,0,2,9.8,3.0,1.0,1.5,66.7,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,3.0,2.5,1.0,0.0,0.5,1.5,10.9,0.0,0.0,-4.5,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Haywood Highsmith,MIA,26,3,2,1,10.1,3.0,1.0,2.3,42.9,0.3,1.3,25.0,0.7,0.7,100.0,0.3,1.7,2.0,0.3,0.0,1.0,0.3,0.7,9.9,0.0,0.0,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,
139,P.J. Tucker,PHI,37,4,4,0,26.5,3.0,1.0,5.0,20.0,0.8,3.8,20.0,0.3,0.5,50.0,2.8,4.0,6.8,2.5,0.3,1.8,0.3,2.0,20.6,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PJ Dozier,SAC,26,1,0,1,3.0,3.0,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Yuta Watanabe,BKN,28,1,0,1,4.7,3.0,1.0,2.0,50.0,1.0,2.0,50.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.2,0.0,0.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Sam Hauser,BOS,25,5,3,2,11.7,2.8,1.0,2.2,45.5,0.8,2.0,40.0,0.0,0.0,0.0,0.2,1.6,1.8,0.4,0.0,0.0,0.2,1.0,6.2,0.0,0.0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Troy Brown Jr.,LAL,23,4,3,1,16.7,2.8,1.3,3.3,38.5,0.3,2.0,12.5,0.0,0.0,0.0,0.5,2.3,2.8,1.0,0.0,0.5,0.3,0.5,9.8,0.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Austin Rivers,MIN,30,4,1,3,11.6,2.5,1.0,2.0,50.0,0.5,1.5,33.3,0.0,0.0,0.0,0.3,1.0,1.3,0.3,0.3,0.3,0.0,0.3,4.9,0.0,0.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Malik Beasley,LAL,26,4,3,1,11.4,2.5,0.8,3.0,25.0,0.5,2.3,22.2,0.5,0.5,100.0,0.3,0.5,0.8,0.0,0.3,0.0,0.0,1.0,3.2,0.0,0.0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
147,MarJon Beauchamp,MIL,22,2,1,1,2.6,2.5,1.0,1.5,66.7,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Jae Crowder,MIL,32,3,1,2,13.5,2.3,1.0,4.3,23.1,0.0,2.0,0.0,0.3,0.7,50.0,0.3,1.0,1.3,1.0,0.3,0.7,0.0,1.7,7.1,0.0,0.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
